1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Denver,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Utah
12:00.0,Jump ball: N. JokiÄ vs. K. Olynyk (J. Clarkson gains possession),Jump ball: N. JokiÄ vs. K. Olynyk (J. Clarkson gains possession),Jump ball: N. JokiÄ vs. K. Olynyk (J. Clarkson gains possession),Jump ball: N. JokiÄ vs. K. Olynyk (J. Clarkson gains possession),Jump ball: N. JokiÄ vs. K. Olynyk (J. Clarkson gains possession)
3:14.0,Defensive rebound by N. JokiÄ,,21-24,,
3:09.0,J. Green makes 2-pt layup from 5 ft (assist by N. JokiÄ),+2,23-24,,
2:58.0,,,23-27,+3,M. Beasley makes 3-pt jump shot from 26 ft (assist by R. Gay)
2:36.0,N. JokiÄ makes 2-pt jump shot from 5 ft,+2,25-27,,
2:25.0,,,25-27,,M. Beasley misses 3-pt jump shot from 25 ft
2:22.0,,,25-27,,Offensive rebound by W. Kessler
2:20.0,,,25-30,+3,L. Markkanen makes 3-pt jump shot from 27 ft (assist by W. Kessler)
2:17.0,Denver full timeout,,25-30,,
2:17.0,D. Jordan enters the game for N. JokiÄ,,25-30,,
2:17.0,,,25-30,,T. Horton-Tucker enters the game for L. Markkanen
2:09.0,B. Brown misses 2-pt jump shot from 14 ft,,25-30,,
2:06.0,,,25-30,,Defensive rebound by W. Kessler
1:58.0,,,25-32,+2,C. Sexton makes 2-pt layup from 3 ft
1:41.0,Turnover by B. Brown (traveling),,25-32,,
1:29.0,,,25-34,+2,T. Horton-Tucker makes 2-pt layup from 3 ft
1:18.0,B. Hyland makes 2-pt layup from 2 ft,+2,27-34,,
1:18.0,,,27-34,,Violation by Team (def goaltending)
1:08.0,,,27-34,,Shooting foul by B. Hyland (drawn by C. Sexton)
1:08.0,,,27-34,,C. Sexton misses free throw 1 of 2
1:08.0,,,27-34,,Offensive rebound by Team
1:08.0,,,27-35,+1,C. Sexton makes free throw 2 of 2
0:59.0,B. Brown misses 3-pt jump shot from 25 ft,,27-35,,
0:56.0,,,27-35,,Defensive rebound by C. Sexton
0:46.0,,,27-35,,T. Horton-Tucker misses 3-pt jump shot from 29 ft
0:42.0,Defensive rebound by D. Jordan,,27-35,,
0:34.0,Turnover by D. Reed (bad pass; steal by M. Beasley),,27-35,,
0:30.0,,,27-37,+2,M. Beasley makes 2-pt layup from 2 ft (assist by C. Sexton)
0:19.0,B. Hyland makes 3-pt jump shot from 26 ft (assist by D. Jordan),+3,30-37,,
0:03.0,,,30-37,,C. Sexton misses 3-pt jump shot from 24 ft
0:00.0,Defensive rebound by D. Jordan,,30-37,,
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,Denver,,Score,,Utah
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:52.0,Turnover by B. Hyland (bad pass; steal by J. Vanderbilt),,30-37,,
11:44.0,,,30-39,+2,R. Gay makes 2-pt layup from 3 ft (assist by J. Vanderbilt)
11:31.0,Turnover by B. Hyland (bad pass; steal by T. Horton-Tucker),,30-39,,
11:21.0,,,30-39,,Shooting foul by B. Hyland (drawn by T. Horton-Tucker)
11:21.0,,,30-39,,T. Horton-Tucker misses free throw 1 of 2
11:21.0,,,30-39,,Offensive rebound by Team
11:21.0,,,30-40,+1,T. Horton-Tucker makes free throw 2 of 2
11:11.0,Turnover by D. Reed (bad pass; steal by M. Conley),,30-40,,
10:56.0,,,30-40,,M. Beasley misses 3-pt jump shot from 25 ft
10:55.0,,,30-40,,Offensive rebound by Team
10:52.0,,,30-42,+2,R. Gay makes 2-pt jump shot from 18 ft (assist by M. Conley)
10:50.0,Denver full timeout,,30-42,,
10:50.0,J. Murray enters the game for D. Reed,,30-42,,
10:32.0,J. Green misses 2-pt jump shot from 9 ft,,30-42,,
10:29.0,,,30-42,,Defensive rebound by J. Vanderbilt
10:21.0,,,30-42,,T. Horton-Tucker misses 2-pt jump shot from 11 ft
10:16.0,,,30-42,,Offensive rebound by J. Vanderbilt
10:16.0,,,30-44,+2,J. Vanderbilt makes 2-pt layup at rim
9:57.0,J. Green misses 2-pt jump shot from 12 ft,,30-44,,
9:56.0,,,30-44,,Defensive rebound by M. Beasley
9:51.0,,,30-47,+3,R. Gay makes 3-pt jump shot from 28 ft (assist by M. Beasley)
9:33.0,Personal foul by T. Horton-Tucker (drawn by B. Hyland),,30-47,,
9:33.0,A. Gordon enters the game for B. Hyland,,30-47,,
9:33.0,M. Porter enters the game for D. Jordan,,30-47,,
9:29.0,J. Murray misses 3-pt jump shot from 25 ft,,30-47,,
9:26.0,,,30-47,,Defensive rebound by J. Vanderbilt
9:18.0,,,30-49,+2,J. Vanderbilt makes 2-pt dunk from 2 ft (assist by T. Horton-Tucker)
9:00.0,Turnover by J. Murray (bad pass; steal by T. Horton-Tucker),,30-49,,
8:56.0,,,30-49,,T. Horton-Tucker misses 2-pt layup from 3 ft
8:55.0,,,30-49,,Offensive rebound by M. Beasley
8:55.0,,,30-49,,Shooting foul by B. Brown (drawn by M. Beasley)
8:55.0,,,30-50,+1,M. Beasley makes free throw 1 of 2
8:55.0,K. Caldwell-Pope enters the game for B. Brown,,30-50,,
8:55.0,N. JokiÄ enters the game for J. Green,,30-50,,
8:55.0,,,30-50,,K. Olynyk enters the game for R. Gay
8:55.0,,,30-51,+1,M. Beasley makes free throw 2 of 2
8:37.0,A. Gordon misses 2-pt layup from 2 ft,,30-51,,
8:35.0,Offensive rebound by A. Gordon,,30-51,,
8:35.0,A. Gordon misses 2-pt layup at rim,,30-51,,
8:33.0,Offensive rebound by A. Gordon,,30-51,,
8:33.0,A. Gordon makes 2-pt layup at rim,+2,32-51,,
8:20.0,,,32-51,,M. Beasley misses 3-pt jump shot from 26 ft
8:18.0,,,32-51,,Offensive rebound by M. Beasley
8:17.0,,,32-51,,M. Beasley misses 2-pt jump shot from 20 ft
8:17.0,,,32-51,,Offensive rebound by J. Vanderbilt
8:07.0,,,32-51,,M. Conley misses 2-pt layup from 5 ft (block by K. Caldwell-Pope)
8:07.0,,,32-51,,Offensive rebound by Team
8:07.0,I. Smith enters the game for J. Murray,,32-51,,
8:05.0,,,32-53,+2,M. Beasley makes 2-pt jump shot from 22 ft (assist by M. Conley)
