1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Denver,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Utah
12:00.0,Jump ball: N. JokiÄ vs. K. Olynyk (J. Clarkson gains possession),Jump ball: N. JokiÄ vs. K. Olynyk (J. Clarkson gains possession),Jump ball: N. JokiÄ vs. K. Olynyk (J. Clarkson gains possession),Jump ball: N. JokiÄ vs. K. Olynyk (J. Clarkson gains possession),Jump ball: N. JokiÄ vs. K. Olynyk (J. Clarkson gains possession)
12:00.0,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter
11:47.0,,,80-94,,Personal foul by J. Green (drawn by K. Olynyk)
11:37.0,,,80-94,,J. Clarkson misses 2-pt jump shot from 11 ft
11:34.0,Defensive rebound by J. Green,,80-94,,
11:26.0,M. Porter makes 3-pt jump shot from 24 ft (assist by B. Brown),+3,83-94,,
11:14.0,,,83-94,,Shooting foul by J. Green (drawn by M. Conley)
11:14.0,,,83-95,+1,M. Conley makes free throw 1 of 2
11:14.0,,,83-96,+1,M. Conley makes free throw 2 of 2
10:59.0,B. Hyland misses 3-pt jump shot from 23 ft,,83-96,,
10:56.0,,,83-96,,Defensive rebound by J. Clarkson
10:46.0,,,83-96,,Turnover by J. Clarkson (step out of bounds)
10:30.0,B. Brown makes 2-pt layup from 2 ft,+2,85-96,,
10:16.0,,,85-96,,Turnover by K. Olynyk (out of bounds lost ball)
10:06.0,Offensive foul by J. Green (drawn by M. Conley),,85-96,,
10:06.0,Turnover by J. Green (offensive foul),,85-96,,
9:57.0,,,85-96,,M. Conley misses 2-pt layup from 1 ft (block by B. Hyland)
9:53.0,Defensive rebound by J. Green,,85-96,,
9:51.0,J. Green makes 2-pt dunk from 2 ft (assist by B. Hyland),+2,87-96,,
9:34.0,,,87-96,,K. Olynyk misses 2-pt hook shot from 2 ft
9:33.0,Defensive rebound by J. Green,,87-96,,
9:33.0,,,87-96,,Technical foul by K. Olynyk
9:33.0,B. Hyland makes technical free throw,+1,88-96,,
9:33.0,,,88-96,,J. Vanderbilt enters the game for T. Horton-Tucker
9:20.0,Turnover by B. Brown (out of bounds lost ball),,88-96,,
9:06.0,,,88-96,,J. Clarkson misses 3-pt jump shot from 25 ft
9:02.0,Defensive rebound by K. Caldwell-Pope,,88-96,,
8:54.0,Offensive foul by M. Porter (drawn by M. Conley),,88-96,,
8:54.0,Turnover by M. Porter (offensive foul),,88-96,,
8:54.0,A. Gordon enters the game for K. Caldwell-Pope,,88-96,,
8:44.0,,,88-96,,M. Beasley misses 3-pt jump shot from 25 ft
8:41.0,,,88-96,,Offensive rebound by J. Clarkson
8:40.0,,,88-98,+2,J. Clarkson makes 2-pt jump shot from 8 ft
8:29.0,Shooting foul by K. Olynyk (drawn by B. Brown),,88-98,,
8:29.0,B. Brown makes free throw 1 of 2,+1,89-98,,
8:29.0,N. JokiÄ enters the game for J. Green,,89-98,,
8:29.0,J. Murray enters the game for M. Porter,,89-98,,
8:29.0,,,89-98,,W. Kessler enters the game for K. Olynyk
8:29.0,B. Brown makes free throw 2 of 2,+1,90-98,,
8:19.0,,,90-101,+3,M. Conley makes 3-pt jump shot from 25 ft
7:57.0,B. Brown makes 2-pt dunk from 2 ft (assist by B. Hyland),+2,92-101,,
7:36.0,,,92-101,,M. Conley misses 2-pt jump shot from 10 ft
7:34.0,,,92-101,,Offensive rebound by Team
7:34.0,K. Caldwell-Pope enters the game for B. Hyland,,92-101,,
7:29.0,,,92-101,,Shooting foul by B. Brown (drawn by J. Clarkson)
7:29.0,,,92-102,+1,J. Clarkson makes free throw 1 of 2
7:29.0,,,92-102,,L. Markkanen enters the game for W. Kessler
7:29.0,,,92-103,+1,J. Clarkson makes free throw 2 of 2
7:14.0,J. Murray makes 2-pt layup from 2 ft,+2,94-103,,
6:59.0,,,94-103,,Shooting foul by A. Gordon (drawn by L. Markkanen)
6:59.0,,,94-103,,Utah full timeout
6:59.0,,,94-104,+1,L. Markkanen makes free throw 1 of 2
6:59.0,,,94-105,+1,L. Markkanen makes free throw 2 of 2
6:44.0,A. Gordon makes 2-pt dunk from 3 ft (assist by N. JokiÄ),+2,96-105,,
6:44.0,M. Porter enters the game for B. Brown,,96-105,,
6:15.0,,,96-105,,Turnover by Team (shot clock)
5:56.0,N. JokiÄ misses 2-pt layup from 5 ft (block by M. Conley),,96-105,,
5:54.0,,,96-105,,Defensive rebound by M. Conley
5:52.0,,,96-105,,M. Beasley misses 3-pt jump shot from 26 ft
5:49.0,Defensive rebound by A. Gordon,,96-105,,
5:42.0,Personal foul by J. Vanderbilt (drawn by A. Gordon),,96-105,,
5:42.0,,,96-105,,R. Gay enters the game for J. Vanderbilt
5:35.0,N. JokiÄ makes 2-pt jump shot from 9 ft (assist by J. Murray),+2,98-105,,
5:19.0,,,98-108,+3,R. Gay makes 3-pt jump shot from 26 ft (assist by M. Conley)
5:02.0,A. Gordon misses 3-pt jump shot from 22 ft,,98-108,,
5:00.0,,,98-108,,Defensive rebound by M. Beasley
4:51.0,,,98-111,+3,M. Beasley makes 3-pt jump shot from 24 ft
4:49.0,Denver full timeout,,98-111,,
4:49.0,,,98-111,,C. Sexton enters the game for J. Clarkson
4:29.0,N. JokiÄ misses 2-pt hook shot from 9 ft,,98-111,,
4:26.0,Offensive rebound by A. Gordon,,98-111,,
4:26.0,A. Gordon makes 2-pt layup at rim,+2,100-111,,
4:15.0,,,100-111,,Shooting foul by K. Caldwell-Pope (drawn by M. Conley)
4:15.0,,,100-112,+1,M. Conley makes free throw 1 of 2
4:15.0,,,100-113,+1,M. Conley makes free throw 2 of 2
4:04.0,J. Murray makes 2-pt layup from 3 ft,+2,102-113,,
3:51.0,,,102-113,,L. Markkanen misses 3-pt jump shot from 23 ft
3:48.0,Defensive rebound by K. Caldwell-Pope,,102-113,,
3:46.0,Turnover by J. Murray (bad pass),,102-113,,
3:28.0,,,102-113,,Personal foul by K. Caldwell-Pope (drawn by C. Sexton)
3:28.0,,,102-114,+1,C. Sexton makes free throw 1 of 2
3:28.0,,,102-115,+1,C. Sexton makes free throw 2 of 2
3:16.0,J. Murray misses 3-pt jump shot from 26 ft,,102-115,,
3:12.0,,,102-115,,Defensive rebound by M. Beasley
3:02.0,,,102-115,,C. Sexton misses 3-pt jump shot from 25 ft
2:59.0,Defensive rebound by A. Gordon,,102-115,,
2:50.0,A. Gordon misses 2-pt layup from 7 ft,,102-115,,
2:48.0,,,102-115,,Defensive rebound by C. Sexton
2:44.0,,,102-115,,M. Conley misses 3-pt jump shot from 25 ft
2:42.0,Defensive rebound by N. JokiÄ,,102-115,,
2:33.0,M. Porter misses 3-pt jump shot from 25 ft,,102-115,,
2:29.0,,,102-115,,Defensive rebound by C. Sexton
2:14.0,,,102-117,+2,C. Sexton makes 2-pt jump shot from 15 ft
2:07.0,Offensive foul by N. JokiÄ (drawn by C. Sexton),,102-117,,
2:07.0,Turnover by N. JokiÄ (offensive foul),,102-117,,
1:55.0,,,102-117,,L. Markkanen misses 2-pt layup from 8 ft (block by A. Gordon)
1:55.0,,,102-117,,Offensive rebound by Team
1:50.0,,,102-117,,Turnover by R. Gay (lost ball; steal by M. Porter)
1:47.0,Turnover by M. Porter (lost ball; steal by M. Conley),,102-117,,
1:28.0,,,102-119,+2,C. Sexton makes 2-pt layup from 3 ft
1:28.0,Denver full timeout,,102-119,,
1:28.0,C. Braun enters the game for K. Caldwell-Pope,,102-119,,
1:28.0,V. ÄanÄar enters the game for A. Gordon,,102-119,,
1:28.0,Z. Nnaji enters the game for N. JokiÄ,,102-119,,
1:28.0,I. Smith enters the game for J. Murray,,102-119,,
1:28.0,P. Watson enters the game for M. Porter,,102-119,,
1:15.0,I. Smith misses 2-pt jump shot from 14 ft,,102-119,,
1:11.0,,,102-119,,Defensive rebound by M. Conley
0:58.0,,,102-119,,M. Beasley misses 2-pt jump shot from 7 ft
0:56.0,Defensive rebound by I. Smith,,102-119,,
0:55.0,Turnover by I. Smith (out of bounds lost ball),,102-119,,
0:55.0,,,102-119,,O. Agbaji enters the game for M. Beasley
0:55.0,,,102-119,,N. Alexander-Walker enters the game for M. Conley
0:55.0,,,102-119,,L. Bolmaro enters the game for R. Gay
0:55.0,,,102-119,,S. Fontecchio enters the game for L. Markkanen
0:55.0,,,102-119,,W. Kessler enters the game for C. Sexton
0:47.0,,,102-121,+2,W. Kessler makes 2-pt dunk from 2 ft (assist by N. Alexander-Walker)
0:34.0,V. ÄanÄar misses 2-pt layup from 7 ft,,102-121,,
0:32.0,,,102-121,,Defensive rebound by W. Kessler
0:23.0,,,102-123,+2,N. Alexander-Walker makes 2-pt jump shot from 20 ft
0:12.0,P. Watson misses 2-pt jump shot from 7 ft,,102-123,,
0:10.0,,,102-123,,Defensive rebound by W. Kessler
0:00.0,End of 4th quarter,End of 4th quarter,End of 4th quarter,End of 4th quarter,End of 4th quarter
