1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Orlando,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Atlanta
12:00.0,Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession)
3:58.0,W. Carter makes 2-pt dunk from 1 ft (assist by P. Banchero),+2,16-11,,
3:49.0,,,16-11,,Shooting foul by C. Anthony (drawn by T. Young)
3:49.0,,,16-12,+1,T. Young makes free throw 1 of 2
3:49.0,,,16-12,,C. Capela enters the game for O. Okongwu
3:49.0,,,16-13,+1,T. Young makes free throw 2 of 2
3:30.0,Offensive foul by W. Carter (drawn by J. Johnson),,16-13,,
3:30.0,Turnover by W. Carter (offensive foul),,16-13,,
3:30.0,M. Bamba enters the game for P. Banchero,,16-13,,
3:30.0,C. Okeke enters the game for W. Carter,,16-13,,
3:30.0,Violation by Team (delay of game),,16-13,,
3:10.0,,,16-13,,C. Capela misses 2-pt jump shot from 6 ft
3:08.0,,,16-13,,Offensive rebound by Team
3:00.0,,,16-15,+2,D. Hunter makes 2-pt jump shot from 9 ft
2:43.0,C. Anthony makes 2-pt jump shot from 11 ft,+2,18-15,,
2:43.0,Shooting foul by T. Young (drawn by C. Anthony),,18-15,,
2:43.0,Orlando full timeout,,18-15,,
2:43.0,C. Anthony makes free throw 1 of 1,+1,19-15,,
2:29.0,,,19-17,+2,C. Capela makes 2-pt dunk from 2 ft (assist by T. Young)
2:08.0,M. Bamba misses 2-pt jump shot from 21 ft,,19-17,,
2:04.0,,,19-17,,Defensive rebound by D. Hunter
1:53.0,,,19-17,,T. Young misses 3-pt jump shot from 26 ft
1:50.0,,,19-17,,Offensive rebound by J. Johnson
1:41.0,,,19-17,,J. Johnson misses 2-pt jump shot from 8 ft
1:39.0,Defensive rebound by M. Bamba,,19-17,,
1:36.0,C. Anthony makes 2-pt jump shot from 11 ft,+2,21-17,,
1:36.0,Shooting foul by T. Young (drawn by C. Anthony),,21-17,,
1:36.0,B. Bol enters the game for T. Ross,,21-17,,
1:36.0,R. Hampton enters the game for F. Wagner,,21-17,,
1:36.0,,,21-17,,A. Holiday enters the game for D. Hunter
1:36.0,C. Anthony makes free throw 1 of 1,+1,22-17,,
1:23.0,,,22-19,+2,C. Capela makes 2-pt dunk from 2 ft (assist by T. Young)
1:04.0,C. Anthony makes 2-pt jump shot from 12 ft,+2,24-19,,
0:52.0,,,24-19,,T. Young misses 3-pt jump shot from 27 ft
0:49.0,Defensive rebound by C. Okeke,,24-19,,
0:36.0,M. Bamba makes 3-pt jump shot from 25 ft (assist by C. Anthony),+3,27-19,,
0:30.0,,,27-19,,Turnover by T. Young (bad pass)
0:13.0,M. Bamba misses 3-pt jump shot from 24 ft,,27-19,,
0:09.0,,,27-19,,Defensive rebound by A. Holiday
0:05.0,,,27-19,,Personal foul by R. Hampton (drawn by T. Young)
0:00.0,,,27-19,,Turnover by T. Young (bad pass)
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,Orlando,,Score,,Atlanta
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
12:00.0,,,27-19,,Violation by Team (delay of game)
11:43.0,,,27-19,,D. Murray misses 2-pt jump shot from 15 ft
11:39.0,Defensive rebound by M. Bamba,,27-19,,
11:28.0,Shooting foul by O. Okongwu (drawn by M. Bamba),,27-19,,
11:28.0,M. Bamba makes free throw 1 of 2,+1,28-19,,
11:28.0,M. Bamba makes free throw 2 of 2,+1,29-19,,
11:15.0,,,29-19,,J. Johnson misses 3-pt jump shot from 23 ft (block by B. Bol)
11:10.0,Defensive rebound by M. Bamba,,29-19,,
11:08.0,Turnover by C. Anthony (lost ball; steal by D. Murray),,29-19,,
11:03.0,,,29-21,+2,J. Johnson makes 2-pt dunk from 1 ft (assist by D. Murray)
10:39.0,R. Hampton makes 2-pt layup from 1 ft,+2,31-21,,
10:27.0,,,31-21,,J. Johnson misses 3-pt jump shot from 26 ft
10:25.0,,,31-21,,Offensive rebound by O. Okongwu
10:25.0,,,31-21,,Shooting foul by M. Bamba (drawn by J. Johnson)
10:25.0,,,31-22,+1,J. Johnson makes free throw 1 of 2
10:25.0,,,31-23,+1,J. Johnson makes free throw 2 of 2
10:19.0,Offensive foul by R. Hampton (drawn by A. Holiday),,31-23,,
10:19.0,Turnover by R. Hampton (offensive foul),,31-23,,
10:07.0,,,31-23,,J. Holiday misses 3-pt jump shot from 26 ft
10:07.0,,,31-23,,Offensive rebound by O. Okongwu
9:58.0,,,31-25,+2,A. Holiday makes 2-pt layup from 2 ft
9:41.0,C. Anthony makes 3-pt jump shot from 25 ft (assist by R. Hampton),+3,34-25,,
9:18.0,,,34-25,,J. Holiday misses 2-pt jump shot from 21 ft (block by B. Bol)
9:14.0,Defensive rebound by M. Bamba,,34-25,,
9:06.0,B. Bol makes 2-pt layup from 2 ft (assist by M. Bamba),+2,36-25,,
9:06.0,Shooting foul by A. Holiday (drawn by B. Bol),,36-25,,
9:06.0,,,36-25,,J. Collins enters the game for J. Johnson
9:06.0,B. Bol makes free throw 1 of 1,+1,37-25,,
8:55.0,,,37-27,+2,A. Holiday makes 2-pt jump shot from 7 ft
8:40.0,C. Anthony makes 3-pt jump shot from 25 ft,+3,40-27,,
8:29.0,,,40-30,+3,J. Holiday makes 3-pt jump shot from 23 ft (assist by D. Murray)
8:11.0,C. Anthony misses 2-pt layup from 5 ft,,40-30,,
8:08.0,,,40-30,,Defensive rebound by J. Collins
8:00.0,,,40-32,+2,D. Murray makes 2-pt jump shot from 4 ft
7:45.0,Turnover by M. Bamba (lost ball; steal by D. Murray),,40-32,,
7:43.0,,,40-34,+2,D. Murray makes 2-pt dunk from 1 ft
7:43.0,Orlando full timeout,,40-34,,
7:43.0,P. Banchero enters the game for C. Anthony,,40-34,,
7:43.0,W. Carter enters the game for M. Bamba,,40-34,,
7:43.0,J. Suggs enters the game for B. Bol,,40-34,,
7:43.0,F. Wagner enters the game for C. Okeke,,40-34,,
7:20.0,P. Banchero misses 2-pt jump shot from 13 ft,,40-34,,
7:17.0,,,40-34,,Defensive rebound by D. Murray
7:09.0,,,40-34,,J. Collins misses 2-pt layup from 4 ft (block by P. Banchero)
7:02.0,,,40-34,,Offensive rebound by J. Collins
7:02.0,,,40-34,,J. Collins misses 2-pt layup at rim
7:01.0,Defensive rebound by P. Banchero,,40-34,,
6:59.0,P. Banchero misses 2-pt layup from 3 ft,,40-34,,
6:54.0,,,40-34,,Defensive rebound by J. Collins
6:53.0,,,40-34,,Turnover by O. Okongwu (lost ball; steal by F. Wagner)
6:48.0,Personal foul by A. Holiday (drawn by P. Banchero),,40-34,,
6:48.0,,,40-34,,T. Young enters the game for A. Holiday
6:44.0,F. Wagner makes 2-pt layup at rim (assist by J. Suggs),+2,42-34,,
6:32.0,,,42-37,+3,J. Collins makes 3-pt jump shot from 26 ft (assist by D. Murray)
6:22.0,W. Carter misses 3-pt jump shot from 25 ft,,42-37,,
6:21.0,,,42-37,,Defensive rebound by Team
6:21.0,,,42-37,,D. Hunter enters the game for J. Holiday
6:02.0,,,42-37,,Turnover by T. Young (bad pass; steal by F. Wagner)
5:47.0,F. Wagner misses 2-pt jump shot from 9 ft,,42-37,,
5:40.0,,,42-37,,Defensive rebound by D. Murray
5:40.0,,,42-37,,Turnover by D. Murray (lost ball; steal by F. Wagner)
5:38.0,W. Carter makes 2-pt layup from 3 ft (assist by F. Wagner),+2,44-37,,
5:38.0,Shooting foul by O. Okongwu (drawn by W. Carter),,44-37,,
5:38.0,T. Ross enters the game for R. Hampton,,44-37,,
5:38.0,,,44-37,,C. Capela enters the game for O. Okongwu
5:38.0,W. Carter misses free throw 1 of 1,,44-37,,
5:35.0,,,44-37,,Defensive rebound by C. Capela
5:31.0,,,44-37,,Shooting foul by T. Ross (drawn by J. Collins)
5:31.0,,,44-38,+1,J. Collins makes free throw 1 of 2
5:31.0,,,44-39,+1,J. Collins makes free throw 2 of 2
5:14.0,J. Suggs misses 2-pt jump shot from 12 ft,,44-39,,
5:10.0,Offensive rebound by W. Carter,,44-39,,
5:07.0,Offensive foul by J. Suggs (drawn by T. Young),,44-39,,
5:07.0,Turnover by J. Suggs (offensive foul),,44-39,,
4:56.0,,,44-39,,T. Young misses 3-pt jump shot from 30 ft
4:55.0,Defensive rebound by Team,,44-39,,
4:43.0,P. Banchero makes 2-pt layup from 1 ft,+2,46-39,,
4:35.0,,,46-39,,Personal foul by F. Wagner (drawn by J. Collins)
4:22.0,,,46-42,+3,D. Murray makes 3-pt jump shot from 23 ft (assist by T. Young)
4:04.0,P. Banchero makes 2-pt layup from 2 ft,+2,48-42,,
3:52.0,,,48-44,+2,J. Collins makes 2-pt jump shot from 9 ft (assist by D. Murray)
3:35.0,P. Banchero misses 2-pt layup from 2 ft,,48-44,,
3:31.0,,,48-44,,Defensive rebound by J. Collins
3:31.0,,,48-44,,Turnover by D. Murray (bad pass; steal by J. Suggs)
3:27.0,J. Suggs misses 3-pt jump shot from 26 ft,,48-44,,
3:23.0,Offensive rebound by J. Suggs,,48-44,,
3:22.0,Turnover by F. Wagner (traveling),,48-44,,
3:13.0,,,48-44,,T. Young misses 2-pt layup from 6 ft
3:09.0,Defensive rebound by W. Carter,,48-44,,
3:07.0,,,48-44,,Atlanta full timeout
2:50.0,Offensive foul by J. Suggs (drawn by J. Collins),,48-44,,
2:50.0,Turnover by J. Suggs (offensive foul),,48-44,,
2:50.0,C. Anthony enters the game for J. Suggs,,48-44,,
