1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Orlando,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Atlanta
12:00.0,Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession),Jump ball: W. Carter vs. C. Capela (F. Wagner gains possession)
10:13.0,,,84-82,,Turnover by D. Murray (out of bounds lost ball)
9:58.0,R. Hampton misses 2-pt layup from 7 ft,,84-82,,
9:55.0,,,84-82,,Defensive rebound by D. Murray
9:53.0,,,84-85,+3,J. Holiday makes 3-pt jump shot from 26 ft (assist by D. Murray)
9:29.0,C. Okeke misses 3-pt jump shot from 25 ft,,84-85,,
9:23.0,Offensive rebound by B. Bol,,84-85,,
9:23.0,B. Bol makes 2-pt dunk at rim,+2,86-85,,
9:20.0,,,86-88,+3,J. Collins makes 3-pt jump shot from 24 ft (assist by J. Holiday)
8:57.0,B. Bol misses 2-pt jump shot from 10 ft,,86-88,,
8:54.0,,,86-88,,Defensive rebound by J. Holiday
8:46.0,,,86-88,,A. Holiday misses 2-pt layup at rim
8:44.0,Defensive rebound by B. Bol,,86-88,,
8:39.0,R. Hampton misses 3-pt jump shot from 26 ft,,86-88,,
8:34.0,,,86-88,,Defensive rebound by A. Holiday
8:23.0,,,86-90,+2,D. Murray makes 2-pt layup from 3 ft
8:23.0,Orlando full timeout,,86-90,,
8:23.0,P. Banchero enters the game for C. Anthony,,86-90,,
8:23.0,W. Carter enters the game for M. Bamba,,86-90,,
8:23.0,T. Ross enters the game for B. Bol,,86-90,,
8:23.0,F. Wagner enters the game for C. Okeke,,86-90,,
8:02.0,Turnover by P. Banchero (lost ball; steal by J. Holiday),,86-90,,
7:59.0,,,86-90,,Personal foul by T. Ross (drawn by O. Okongwu)
7:47.0,,,86-90,,J. Holiday misses 2-pt layup from 1 ft
7:43.0,Defensive rebound by P. Banchero,,86-90,,
7:40.0,P. Banchero misses 2-pt layup from 8 ft,,86-90,,
7:36.0,,,86-90,,Defensive rebound by D. Murray
7:22.0,,,86-90,,O. Okongwu misses 2-pt jump shot from 17 ft
7:20.0,Defensive rebound by W. Carter,,86-90,,
7:05.0,Shooting foul by J. Holiday (drawn by W. Carter),,86-90,,
7:05.0,W. Carter makes free throw 1 of 2,+1,87-90,,
7:05.0,W. Carter makes free throw 2 of 2,+1,88-90,,
6:52.0,,,88-90,,D. Murray misses 2-pt jump shot from 11 ft
6:49.0,Defensive rebound by P. Banchero,,88-90,,
6:34.0,Turnover by R. Hampton (bad pass),,88-90,,
6:34.0,,,88-90,,T. Young enters the game for A. Holiday
6:11.0,,,88-93,+3,J. Holiday makes 3-pt jump shot from 26 ft (assist by D. Murray)
5:55.0,Turnover by W. Carter (bad pass),,88-93,,
5:55.0,,,88-93,,C. Capela enters the game for J. Holiday
5:55.0,,,88-93,,D. Hunter enters the game for O. Okongwu
5:46.0,,,88-95,+2,C. Capela makes 2-pt layup from 1 ft (assist by T. Young)
5:19.0,P. Banchero makes 2-pt layup from 8 ft,+2,90-95,,
5:02.0,,,90-95,,T. Young misses 3-pt jump shot from 26 ft
4:58.0,Defensive rebound by F. Wagner,,90-95,,
4:49.0,W. Carter misses 3-pt jump shot from 23 ft,,90-95,,
4:46.0,,,90-95,,Defensive rebound by C. Capela
4:42.0,,,90-97,+2,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young)
4:42.0,Orlando full timeout,,90-97,,
4:42.0,C. Anthony enters the game for R. Hampton,,90-97,,
4:31.0,P. Banchero makes 2-pt layup from 1 ft (assist by C. Anthony),+2,92-97,,
4:16.0,,,92-99,+2,D. Murray makes 2-pt jump shot from 13 ft
4:01.0,P. Banchero misses 2-pt jump shot from 17 ft,,92-99,,
3:59.0,,,92-99,,Defensive rebound by C. Capela
3:45.0,,,92-99,,D. Murray misses 2-pt jump shot from 7 ft
3:44.0,,,92-99,,Offensive rebound by Team
3:36.0,,,92-99,,Personal foul by F. Wagner (drawn by D. Murray)
3:36.0,,,92-99,,Atlanta full timeout
3:24.0,,,92-99,,T. Young misses 2-pt layup from 5 ft (block by T. Ross)
3:23.0,,,92-99,,Offensive rebound by Team
3:21.0,,,92-102,+3,T. Young makes 3-pt jump shot from 23 ft (assist by D. Murray)
3:04.0,P. Banchero misses 3-pt jump shot from 26 ft,,92-102,,
3:02.0,Offensive rebound by F. Wagner,,92-102,,
2:55.0,Turnover by F. Wagner (bad pass; steal by D. Murray),,92-102,,
2:52.0,,,92-102,,Turnover by D. Murray (bad pass)
2:45.0,Turnover by C. Anthony (bad pass; steal by C. Capela),,92-102,,
2:40.0,,,92-105,+3,T. Young makes 3-pt jump shot from 26 ft
2:14.0,P. Banchero misses 3-pt jump shot from 23 ft,,92-105,,
2:12.0,,,92-105,,Defensive rebound by D. Murray
2:07.0,,,92-105,,Turnover by J. Collins (lost ball; steal by C. Anthony)
2:02.0,F. Wagner misses 3-pt jump shot from 25 ft,,92-105,,
2:00.0,Offensive rebound by P. Banchero,,92-105,,
2:00.0,Personal foul by T. Young (drawn by P. Banchero),,92-105,,
1:55.0,F. Wagner makes 2-pt layup from 2 ft (assist by W. Carter),+2,94-105,,
1:35.0,,,94-105,,T. Young misses 2-pt jump shot from 21 ft
1:34.0,,,94-105,,Offensive rebound by Team
1:22.0,,,94-105,,D. Hunter misses 2-pt jump shot from 11 ft
1:17.0,Defensive rebound by P. Banchero,,94-105,,
1:07.0,P. Banchero misses 2-pt jump shot from 13 ft (block by J. Collins),,94-105,,
1:02.0,,,94-105,,Defensive rebound by J. Collins
0:48.0,,,94-108,+3,J. Collins makes 3-pt jump shot from 23 ft (assist by D. Murray)
0:37.0,Shooting foul by J. Collins (drawn by C. Anthony),,94-108,,
0:37.0,C. Anthony makes free throw 1 of 2,+1,95-108,,
0:37.0,K. Harris enters the game for F. Wagner,,95-108,,
0:37.0,C. Anthony makes free throw 2 of 2,+1,96-108,,
0:17.0,,,96-108,,T. Young misses 2-pt jump shot from 7 ft
0:14.0,Defensive rebound by K. Harris,,96-108,,
0:11.0,Shooting foul by J. Collins (drawn by P. Banchero),,96-108,,
0:11.0,P. Banchero makes free throw 1 of 2,+1,97-108,,
0:11.0,P. Banchero makes free throw 2 of 2,+1,98-108,,
0:00.0,End of 4th quarter,End of 4th quarter,End of 4th quarter,End of 4th quarter,End of 4th quarter
