model,accuracy,macro_f1,support,threshold
Majority Baseline,0.5189551968075458,0.34165273465488416,16539,
Numeric Logistic,0.7771933006832336,0.768255664456132,16539,0.5400000000000003
Numeric HistGradientBoosting,0.7938206663038878,0.7857447156077622,16539,0.5000000000000002
Hybrid Text + HistGradientBoosting,0.7938206663038878,0.7857447156077622,16539,0.5000000000000002
